Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1773466829.530568,0,0.01,0,0.01,0,0.01,0,0.01
1773466829.6328697,0,0.0,0,0.0,0,0.01,0,0.01
1773466829.739389,0,0.0,0,0.0,0,0.01,0,0.01
1773466829.8422267,0,0.0,0,0.0,0,0.0,0,0.0
1773466829.9450536,0,0.0,0,0.0,0,0.0,0,0.0
1773466830.0531092,0,0.0,0,0.0,0,0.0,0,0.0
1773466830.1619418,0,0.0,0,0.0,0,0.0,0,0.0
1773466830.2638025,0,0.0,0,0.0,0,0.0,0,0.0
1773466830.3656993,0,0.0,0,0.0,0,0.0,0,0.0
1773466830.487317,0,0.0,0,0.0,0,0.0,0,0.0
1773466830.589149,0,0.0,0,0.0,0,0.0,0,0.0
1773466830.6920774,0,0.0,0,0.0,0,0.0,0,0.0
1773466830.800203,0,0.0,0,0.0,0,0.0,0,0.0
1773466830.902431,0,0.0,0,0.0,0,0.0,0,0.0
1773466831.0042574,0,0.0,0,0.0,0,0.0,0,0.0
1773466831.106087,0,0.0,0,0.0,0,0.0,0,0.0
1773466831.2089512,0,0.0,0,0.0,0,0.0,0,0.0
1773466831.310724,0,0.0,0,0.0,0,0.0,0,0.0
1773466831.412771,0,0.0,0,0.0,0,0.0,0,0.0
1773466831.514729,0,0.0,0,0.0,0,0.0,0,0.0
1773466831.6175148,0,0.0,0,0.0,0,0.0,0,0.0
1773466831.7203653,0,0.0,0,0.0,0,0.0,0,0.0
1773466831.8224251,0,0.0,0,0.0,0,0.0,0,0.0
1773466831.9296927,0,0.0,0,0.0,0,0.0,0,0.0
1773466832.031488,0,0.0,0,0.0,0,0.0,0,0.0
1773466832.1536088,0,0.0,0,0.0,0,0.0,0,0.0
1773466832.2777421,0,0.0,0,0.0,0,0.0,0,0.0
1773466832.3795567,0,0.0,0,0.0,0,0.0,0,0.0
1773466832.5031905,0,0.0,0,0.0,0,0.0,0,0.0
1773466832.6050313,0,0.0,0,0.0,0,0.0,0,0.0
1773466832.7083192,0,0.0,0,0.0,0,0.0,0,0.0
1773466832.810753,0,0.0,0,0.0,0,0.0,0,0.0
1773466832.9128473,3,0.14,2,0.1,3,0.17,2,0.1
1773466833.0146425,3,0.23,2,0.21,3,0.36,4,0.28
1773466833.116423,5,0.37,5,0.39,5,0.46,5,0.36
1773466833.220501,2,0.36,3,0.4,3,0.45,3,0.39
1773466833.323181,2,0.35,2,0.38,2,0.42,2,0.44
1773466833.4253738,2,0.38,2,0.37,2,0.43,2,0.45
1773466833.5270236,3,0.4,1,0.36,2,0.44,2,0.45
1773466833.628862,1,0.39,3,0.36,2,0.41,2,0.45
1773466833.7311924,2,0.34,3,0.39,2,0.39,3,0.45
1773466833.833293,3,0.37,2,0.37,3,0.44,2,0.42
1773466833.9354577,2,0.33,2,0.4,2,0.41,2,0.4
1773466834.0375507,2,0.33,3,0.38,2,0.42,2,0.41
1773466834.1401432,2,0.33,3,0.4,2,0.4,2,0.39
1773466834.2417288,2,0.34,3,0.38,2,0.38,3,0.44
1773466834.3499224,3,0.36,2,0.4,2,0.4,2,0.44
1773466834.4559844,2,0.35,3,0.38,3,0.41,2,0.44
1773466834.5575078,2,0.32,3,0.4,2,0.39,2,0.44
1773466834.6591816,3,0.36,2,0.38,3,0.41,2,0.41
1773466834.7775888,2,0.34,3,0.42,2,0.4,3,0.47
1773466834.8796573,2,0.37,3,0.39,2,0.42,2,0.43
1773466834.9817803,2,0.36,2,0.38,2,0.46,2,0.37
1773466835.0838382,2,0.36,3,0.4,3,0.46,3,0.39
1773466835.1863716,2,0.35,3,0.42,3,0.46,2,0.41
1773466835.2882595,2,0.35,3,0.43,1,0.46,2,0.42
1773466835.3911211,2,0.35,3,0.43,2,0.49,2,0.4
1773466835.4932094,2,0.34,2,0.44,2,0.51,2,0.38
1773466835.6013043,2,0.34,2,0.44,2,0.52,2,0.36
1773466835.703476,2,0.34,3,0.44,3,0.5,3,0.39
1773466835.8071256,3,0.37,2,0.41,2,0.45,3,0.44
1773466835.9108353,3,0.39,2,0.39,2,0.45,2,0.44
1773466836.0230303,2,0.4,2,0.36,3,0.44,2,0.43
1773466836.1413145,3,0.4,2,0.34,2,0.4,3,0.45
1773466836.252045,2,0.37,3,0.37,2,0.4,3,0.44
1773466836.3542736,2,0.36,3,0.39,2,0.42,2,0.45
1773466836.4833808,2,0.36,3,0.38,2,0.43,2,0.42
1773466836.5931287,3,0.35,2,0.39,2,0.43,2,0.45
1773466836.6951413,2,0.35,3,0.41,2,0.4,2,0.45
1773466836.7972665,2,0.34,3,0.39,2,0.42,2,0.42
1773466836.9005158,2,0.34,3,0.41,2,0.43,2,0.43
1773466837.0178843,3,0.39,2,0.37,2,0.45,2,0.45
1773466837.1246302,3,0.37,2,0.39,3,0.41,2,0.44
1773466837.23038,3,0.39,2,0.34,2,0.42,2,0.44
1773466837.3384302,2,0.37,3,0.37,2,0.42,2,0.44
1773466837.440537,2,0.4,1,0.36,2,0.4,2,0.44
1773466837.542247,3,0.41,2,0.35,2,0.42,2,0.45
1773466837.6443565,2,0.39,3,0.38,2,0.43,2,0.45
1773466837.746533,2,0.38,3,0.41,3,0.44,2,0.45
1773466837.8486493,2,0.37,3,0.42,2,0.44,2,0.45
1773466837.9508734,2,0.36,3,0.43,2,0.44,2,0.45
1773466838.0736845,3,0.36,2,0.39,2,0.42,2,0.43
1773466838.1834102,2,0.35,3,0.4,2,0.42,2,0.43
1773466838.2855113,1,0.35,1,0.41,2,0.43,2,0.44
1773466838.4003623,3,0.36,2,0.38,3,0.42,3,0.43
1773466838.5024602,2,0.36,3,0.4,3,0.43,2,0.43
1773466838.6112423,2,0.35,3,0.41,3,0.43,2,0.43
1773466838.7236533,3,0.37,2,0.38,3,0.46,2,0.43
1773466838.8271642,2,0.36,3,0.4,2,0.45,2,0.4
1773466838.952907,2,0.36,3,0.42,2,0.48,2,0.45
1773466839.054543,1,0.36,2,0.43,3,0.44,3,0.45
1773466839.156728,2,0.35,3,0.4,3,0.45,2,0.42
1773466839.2586424,3,0.35,2,0.42,2,0.45,2,0.39
1773466839.3690915,2,0.34,3,0.42,2,0.44,2,0.43
1773466839.4708111,2,0.34,3,0.4,2,0.41,2,0.41
1773466839.5732124,2,0.34,3,0.41,2,0.42,2,0.42
1773466839.6853182,3,0.36,2,0.38,2,0.42,3,0.45
1773466839.7902308,2,0.35,3,0.4,2,0.39,2,0.45
1773466839.8919795,3,0.38,2,0.38,2,0.41,2,0.45
1773466839.9950228,3,0.4,2,0.37,2,0.42,2,0.45
1773466840.0970907,2,0.38,3,0.39,2,0.43,2,0.45
1773466840.2002587,2,0.37,3,0.41,2,0.44,2,0.45
1773466840.3024142,3,0.4,2,0.39,2,0.44,3,0.45
1773466840.4079857,3,0.41,2,0.37,3,0.47,2,0.42
1773466840.5171676,2,0.38,3,0.39,2,0.46,3,0.42
1773466840.6208858,2,0.37,3,0.41,1,0.42,2,0.46
1773466840.7230186,3,0.39,2,0.39,2,0.43,2,0.46
1773466840.8323674,3,0.4,2,0.37,2,0.4,3,0.48
1773466840.936591,3,0.42,2,0.36,2,0.41,2,0.47
1773466841.0387673,2,0.39,3,0.39,2,0.42,3,0.47
1773466841.1408348,2,0.38,3,0.41,3,0.43,2,0.46
1773466841.2465694,2,0.36,3,0.42,3,0.47,2,0.42
1773466841.3487666,3,0.39,2,0.39,2,0.46,2,0.43
1773466841.4513752,3,0.41,2,0.38,2,0.46,3,0.44
1773466841.5556152,2,0.39,2,0.36,2,0.46,3,0.44
1773466841.6576095,3,0.44,2,0.36,2,0.46,1,0.44
1773466841.7595463,3,0.41,2,0.35,2,0.42,3,0.48
1773466841.8622098,2,0.39,3,0.38,2,0.43,2,0.47
1773466841.9642649,2,0.37,3,0.4,2,0.44,3,0.47
1773466842.0662727,1,0.33,3,0.39,2,0.41,2,0.46
1773466842.1682472,2,0.33,3,0.41,2,0.39,2,0.46
1773466842.2700696,2,0.34,3,0.42,2,0.37,2,0.49
1773466842.372262,3,0.37,2,0.36,2,0.36,2,0.45
1773466842.4744036,2,0.33,3,0.39,2,0.36,3,0.45
1773466842.5764747,3,0.37,2,0.38,3,0.39,2,0.42
1773466842.6816578,2,0.39,2,0.33,3,0.4,3,0.42
1773466842.7836735,2,0.37,2,0.33,2,0.38,2,0.43
1773466842.886886,2,0.36,3,0.37,2,0.4,2,0.4
1773466842.9890876,2,0.36,3,0.39,3,0.45,2,0.39
1773466843.091256,4,0.49,5,0.51,4,0.66,4,0.61
1773466843.198392,9,0.57,9,0.59,8,0.82,9,0.75
1773466843.3005927,13,0.64,13,0.65,10,0.95,9,0.9
1773466843.4029315,17,0.65,18,0.66,6,0.9,5,0.9
1773466843.5062273,18,0.47,19,0.47,1,0.8,1,0.77
1773466843.6082864,0,0.33,0,0.33,1,0.8,1,0.64
1773466843.7104146,0,0.23,0,0.23,1,0.63,1,0.69
1773466843.8147004,0,0.16,0,0.16,1,0.67,1,0.55
1773466843.9166427,0,0.11,0,0.11,1,0.68,1,0.52
1773466844.018683,0,0.08,0,0.08,1,0.64,1,0.47
1773466844.124306,0,0.06,0,0.06,1,0.52,0,0.33
1773466844.2424219,0,0.04,0,0.04,0,0.36,0,0.23
1773466844.3442237,0,0.03,0,0.03,0,0.25,0,0.16
1773466844.4470623,0,0.02,0,0.02,0,0.18,0,0.11
1773466844.5494332,0,0.01,0,0.01,0,0.12,0,0.08
1773466844.6518412,0,0.01,0,0.01,0,0.09,0,0.05
1773466844.7622643,0,0.01,0,0.01,0,0.06,0,0.04
1773466844.8671317,0,0.0,0,0.0,0,0.04,0,0.03
1773466844.9691262,0,0.0,0,0.0,0,0.03,0,0.02
1773466845.0710626,0,0.0,0,0.0,0,0.02,0,0.01
1773466845.1760182,0,0.0,0,0.0,0,0.01,0,0.01
1773466845.2778609,0,0.0,0,0.0,0,0.01,0,0.01
1773466845.3934863,0,0.0,0,0.0,0,0.01,0,0.0
1773466845.4957848,0,0.0,0,0.0,0,0.01,0,0.0
1773466845.5980363,0,0.0,0,0.0,0,0.0,0,0.0
1773466845.7355256,0,0.0,0,0.0,0,0.0,0,0.0
1773466845.8805087,0,0.0,0,0.0,0,0.0,0,0.0
1773466845.9825647,0,0.0,0,0.0,0,0.0,0,0.0
1773466846.0843742,0,0.0,0,0.0,0,0.0,0,0.0
1773466846.2035527,0,0.0,0,0.0,0,0.0,0,0.0
1773466846.305388,0,0.0,0,0.0,0,0.0,0,0.0
1773466846.4077342,0,0.0,0,0.0,0,0.0,0,0.0
1773466846.5324266,0,0.0,0,0.0,0,0.0,0,0.0
1773466846.636264,0,0.0,0,0.0,0,0.0,0,0.0
1773466846.7492294,0,0.0,0,0.0,0,0.0,0,0.0
1773466846.8602753,0,0.0,0,0.0,0,0.0,0,0.0
1773466846.974532,0,0.0,0,0.0,0,0.0,0,0.0
1773466847.0902889,0,0.0,0,0.0,0,0.0,0,0.0
1773466847.1960676,0,0.0,0,0.0,0,0.0,0,0.0
1773466847.2984114,0,0.0,0,0.0,0,0.0,0,0.0
1773466847.4002147,0,0.0,0,0.0,0,0.0,0,0.0
1773466847.513243,0,0.0,0,0.0,0,0.0,0,0.0
1773466847.6242275,0,0.0,0,0.0,0,0.0,0,0.0
1773466847.7327228,0,0.0,0,0.0,0,0.0,0,0.0
1773466847.8345702,0,0.0,0,0.0,0,0.0,0,0.0
1773466847.9435291,0,0.0,0,0.0,0,0.0,0,0.0
1773466848.0474215,0,0.0,0,0.0,0,0.0,0,0.0
1773466848.149421,0,0.0,0,0.0,0,0.0,0,0.0
1773466848.2515883,0,0.0,0,0.0,0,0.0,0,0.0
1773466848.355435,0,0.0,0,0.0,0,0.0,0,0.0
1773466848.4604247,0,0.0,0,0.0,0,0.0,0,0.0
