Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1777567484.4513428,1,0.02,1,0.01,1,0.01,1,0.03
1777567484.5540414,1,0.02,1,0.01,1,0.01,1,0.02
1777567484.6558309,1,0.02,1,0.01,1,0.01,1,0.02
1777567484.7584913,1,0.01,1,0.01,1,0.01,1,0.02
1777567484.860645,1,0.01,1,0.01,1,0.01,1,0.02
1777567484.9627318,1,0.01,1,0.01,1,0.01,1,0.02
1777567485.0818722,2,0.1,2,0.1,1,0.07,1,0.05
1777567485.2351012,1,0.09,1,0.09,2,0.14,1,0.15
1777567485.357095,1,0.18,1,0.09,1,0.15,2,0.24
1777567485.487371,2,0.2,1,0.09,3,0.21,2,0.25
1777567485.612343,1,0.2,2,0.15,2,0.23,1,0.26
1777567485.7312686,1,0.17,2,0.16,3,0.22,4,0.33
1777567485.8576856,4,0.23,3,0.2,3,0.29,2,0.31
1777567485.9853544,1,0.22,1,0.25,3,0.34,4,0.38
1777567486.1161215,1,0.26,2,0.31,2,0.37,3,0.45
1777567486.2521548,3,0.26,3,0.29,2,0.36,3,0.4
1777567486.3766732,2,0.24,2,0.29,3,0.34,2,0.33
1777567486.514162,1,0.22,3,0.31,4,0.34,5,0.38
1777567486.630648,2,0.24,2,0.31,3,0.42,4,0.45
1777567486.7564301,2,0.34,2,0.32,3,0.4,3,0.48
1777567486.8849924,2,0.27,3,0.31,2,0.36,2,0.39
1777567487.0134459,3,0.27,4,0.33,2,0.31,2,0.33
1777567487.1353834,2,0.27,3,0.34,5,0.42,4,0.4
1777567487.2777646,2,0.29,2,0.34,3,0.46,2,0.48
1777567487.4070933,2,0.24,3,0.32,3,0.4,1,0.36
1777567487.527537,2,0.25,2,0.31,2,0.43,1,0.45
1777567487.6593668,2,0.28,1,0.3,3,0.46,4,0.45
1777567487.7766688,3,0.35,3,0.42,2,0.44,2,0.49
1777567487.911884,1,0.27,1,0.32,2,0.38,2,0.42
1777567488.0300956,1,0.19,1,0.26,3,0.36,3,0.41
1777567488.1586845,5,0.24,6,0.31,1,0.33,4,0.37
1777567488.2928348,3,0.3,1,0.27,4,0.34,5,0.36
1777567488.3998601,1,0.28,1,0.29,4,0.4,4,0.48
1777567488.5341609,2,0.27,3,0.28,3,0.38,2,0.39
1777567488.6620295,2,0.25,2,0.26,1,0.29,2,0.33
1777567488.793532,3,0.25,3,0.23,2,0.26,1,0.31
1777567488.924001,3,0.34,2,0.3,2,0.29,3,0.38
1777567489.0340216,1,0.27,1,0.27,1,0.3,2,0.39
1777567489.1532872,0,0.19,1,0.25,2,0.38,1,0.39
1777567489.2839787,2,0.19,2,0.26,2,0.35,2,0.35
1777567489.4037902,1,0.28,1,0.21,1,0.33,1,0.33
1777567489.5368297,2,0.25,1,0.2,3,0.36,2,0.34
1777567489.6586227,2,0.26,2,0.28,2,0.37,1,0.32
1777567489.7732947,1,0.27,1,0.26,1,0.32,2,0.35
1777567489.905347,1,0.25,1,0.21,2,0.35,2,0.35
1777567490.0221615,2,0.18,1,0.15,2,0.31,2,0.3
1777567490.1410053,3,0.27,3,0.22,1,0.27,1,0.27
1777567490.2536693,1,0.22,1,0.22,2,0.22,2,0.25
1777567490.373097,2,0.21,2,0.21,4,0.33,4,0.38
1777567490.4853594,2,0.24,3,0.27,2,0.32,2,0.36
1777567490.6167746,4,0.25,1,0.22,3,0.31,2,0.3
1777567490.7382495,2,0.18,1,0.18,4,0.27,4,0.27
1777567490.8533943,3,0.16,3,0.19,3,0.37,3,0.31
1777567490.9751887,3,0.17,1,0.19,2,0.26,2,0.27
1777567491.0946689,2,0.18,3,0.22,3,0.27,3,0.28
1777567491.2216194,1,0.23,1,0.21,5,0.35,4,0.33
1777567491.3592362,2,0.24,1,0.22,1,0.3,2,0.33
1777567491.4899354,1,0.22,1,0.21,1,0.26,1,0.29
1777567491.6059551,3,0.19,2,0.18,3,0.27,3,0.32
1777567491.7258596,2,0.25,3,0.21,1,0.25,2,0.31
1777567491.8369243,1,0.24,2,0.21,3,0.27,3,0.34
1777567491.9689314,2,0.19,1,0.18,2,0.32,3,0.4
1777567492.096427,1,0.22,2,0.23,2,0.31,2,0.39
1777567492.2330403,1,0.2,2,0.27,1,0.26,0,0.27
1777567492.3471549,2,0.18,1,0.19,0,0.22,1,0.25
1777567492.4672205,1,0.18,1,0.19,3,0.35,3,0.35
1777567492.602853,1,0.18,2,0.21,2,0.32,1,0.27
1777567492.7268631,2,0.15,1,0.18,2,0.28,2,0.25
1777567492.85817,5,0.27,5,0.28,3,0.3,1,0.22
1777567492.9878504,1,0.24,1,0.23,2,0.32,2,0.26
1777567493.1229174,1,0.22,2,0.19,2,0.3,2,0.26
1777567493.258062,1,0.18,1,0.16,2,0.31,1,0.24
1777567493.3614912,1,0.19,1,0.18,4,0.32,4,0.33
1777567493.4901562,1,0.19,1,0.18,2,0.33,2,0.29
1777567493.6351402,2,0.16,2,0.17,3,0.28,3,0.23
1777567493.7707736,4,0.24,3,0.22,2,0.25,3,0.29
1777567493.8844557,3,0.23,2,0.19,2,0.27,2,0.23
1777567493.99909,4,0.23,5,0.23,3,0.31,3,0.28
1777567494.1309714,5,0.26,2,0.29,2,0.27,2,0.3
1777567494.2582653,1,0.24,1,0.29,3,0.3,3,0.38
1777567494.3841743,1,0.22,1,0.26,1,0.24,1,0.32
