Timestamp,Total_Load_Mbps_Config,Flows,Time_Since_Traffic_Start_s,Time_Since_Last_Rehash_s,Is_Rehash_Event,src1_port2_qdepth,src1_port2_max_q_delay_us,src1_port2_acc_q_delay_us,src1_port2_mbps,src1_port2_congestion_drop_rate_percent,Weight_Port2,src1_port3_qdepth,src1_port3_max_q_delay_us,src1_port3_acc_q_delay_us,src1_port3_mbps,src1_port3_congestion_drop_rate_percent,Weight_Port3,src1_port4_qdepth,src1_port4_max_q_delay_us,src1_port4_acc_q_delay_us,src1_port4_mbps,src1_port4_congestion_drop_rate_percent,Weight_Port4,src1_port5_qdepth,src1_port5_max_q_delay_us,src1_port5_acc_q_delay_us,src1_port5_mbps,src1_port5_congestion_drop_rate_percent,Weight_Port5,src1_port6_qdepth,src1_port6_max_q_delay_us,src1_port6_acc_q_delay_us,src1_port6_mbps,src1_port6_congestion_drop_rate_percent,Weight_Port6,src1_port7_qdepth,src1_port7_max_q_delay_us,src1_port7_acc_q_delay_us,src1_port7_mbps,src1_port7_congestion_drop_rate_percent,Weight_Port7,src1_port8_qdepth,src1_port8_max_q_delay_us,src1_port8_acc_q_delay_us,src1_port8_mbps,src1_port8_congestion_drop_rate_percent,Weight_Port8,src1_port9_qdepth,src1_port9_max_q_delay_us,src1_port9_acc_q_delay_us,src1_port9_mbps,src1_port9_congestion_drop_rate_percent,Weight_Port9,Label_Max_Path_Delay_ms,Label_Total_Drop_Rate_Percent
2026-05-29 08:46:45.623574,1.44,12,1.09,1.01,1,1,28281.0,31889.0,0.105,0.0,0.0909,1,6889.0,7779.0,0.105,0.0,0.0909,1,12955.0,15466.0,0.117,0.0,0.0909,1,18877.0,19728.0,0.094,0.0,0.0909,2,22137.0,30064.0,0.286,0.0,0.1818,3,18042.0,33758.0,0.25,0.0,0.1818,1,12361.0,16673.0,0.141,0.0,0.1364,1,10872.0,13072.0,0.175,0.0,0.1364,33.758,0.0
2026-05-29 08:46:46.661890,1.44,12,2.14,2.06,0,1,22198.7,23538.0,0.152,0.0,0.0909,1,20240.1,21461.9,0.105,0.0,0.0909,1,28959.1,29983.3,0.117,0.0,0.0909,1,24658.3,24947.2,0.14,0.0,0.0909,3,22154.5,33287.5,0.28,0.0,0.1818,2,29657.1,35452.0,0.361,0.0,0.1818,2,25212.3,28269.2,0.198,0.0,0.1364,1,28406.3,29081.7,0.187,0.0,0.1364,35.452,0.0
2026-05-29 08:46:47.695342,1.44,12,3.17,3.09,0,1,9545.71,10886.9,0.116,0.0,0.0909,1,15358.93,16266.57,0.14,0.0,0.0909,1,15860.63,16974.29,0.14,0.0,0.0909,1,10986.39,11723.36,0.116,0.0,0.0909,2,18212.45,23771.35,0.326,0.0,0.1818,2,21295.53,26646.7,0.326,2.38,0.1818,1,16546.09,19350.36,0.21,0.0,0.1364,1,14877.89,15850.51,0.186,0.0,0.1364,26.6467,0.51
2026-05-29 08:46:48.755956,1.44,12,4.22,4.14,0,1,15302.01,15720.47,0.14,0.0,0.0909,1,16569.28,20279.97,0.14,0.0,0.0909,1,13660.79,15980.09,0.152,0.0,0.0909,1,7066.12,10455.41,0.128,0.0,0.0909,2,19235.53,27028.21,0.303,2.64,0.1818,2,23939.76,26758.21,0.373,0.0,0.1818,1,13176.23,15066.81,0.291,0.0,0.1364,1,12510.57,13673.85,0.117,0.0,0.1364,27.028205000000003,0.5
2026-05-29 08:46:49.828279,1.44,12,5.28,5.21,0,1,18490.5,20890.34,0.105,0.0,0.0909,1,20605.28,23940.99,0.152,0.0,0.0909,1,13387.24,19242.03,0.07,0.0,0.0909,1,8860.14,13472.82,0.186,0.0,0.0909,2,16042.46,22613.16,0.315,0.0,0.1818,2,23032.73,30562.56,0.338,0.0,0.1818,1,14417.87,15194.34,0.198,0.0,0.1364,1,11943.17,15703.26,0.186,0.0,0.1364,30.562562999999997,0.0
2026-05-29 08:46:50.885720,1.44,12,6.34,6.26,0,1,21868.35,23158.8,0.163,0.0,0.0909,1,16751.59,21862.0,0.117,0.0,0.0909,1,13155.37,18753.41,0.152,0.0,0.0909,1,3712.24,5265.45,0.117,0.0,0.0909,2,17850.94,19849.45,0.326,0.0,0.1818,2,18224.62,27598.37,0.35,5.21,0.1818,1,8971.96,13538.6,0.175,0.0,0.1364,1,13503.35,16572.48,0.245,0.0,0.1364,27.5983689,1.17
2026-05-29 08:46:51.951966,1.44,12,7.43,7.35,0,1,18594.91,24419.64,0.093,0.0,0.0909,1,21772.28,23337.6,0.162,0.0,0.0909,1,10924.91,17425.22,0.151,0.0,0.0909,1,11054.37,17696.43,0.116,0.0,0.0909,1,20170.78,24133.83,0.302,0.0,0.1818,1,17487.79,23653.61,0.36,0.0,0.1818,1,10175.99,12610.68,0.197,0.0,0.1364,1,11606.11,13208.64,0.186,0.0,0.1364,24.41964069,0.0
2026-05-29 08:46:52.985924,1.44,12,8.46,8.38,0,1,16585.27,18790.49,0.117,0.0,0.0909,1,23141.98,25868.38,0.14,0.0,0.0909,1,11867.87,13829.87,0.128,0.0,0.0909,1,15647.51,17783.63,0.128,0.0,0.0909,2,23358.03,26404.75,0.315,0.0,0.1818,2,22090.44,24230.68,0.326,0.0,0.1818,1,11499.7,14323.1,0.21,0.0,0.1364,1,15259.33,15790.49,0.175,0.0,0.1364,26.404750360500003,0.0
2026-05-29 08:46:54.040156,1.44,12,9.51,9.44,0,1,21310.08,22698.25,0.152,0.0,0.0909,1,17915.09,20736.41,0.105,0.0,0.0909,1,11422.06,14324.16,0.105,0.0,0.0909,1,16991.85,19328.79,0.152,0.0,0.0909,2,20974.51,21901.13,0.326,0.0,0.1818,2,19652.73,22112.7,0.315,0.0,0.1818,1,11183.51,12968.53,0.233,0.0,0.1364,1,6806.6,7273.25,0.152,0.0,0.1364,22.698247662099998,0.0
2026-05-29 08:46:55.082452,1.44,12,10.55,10.47,0,1,8937.52,9484.17,0.082,0.0,0.0909,1,15452.43,18722.22,0.187,4.84,0.0909,1,15807.52,16694.25,0.152,0.0,0.0909,1,11466.86,13037.34,0.128,0.0,0.0909,2,19496.45,23119.04,0.35,5.21,0.1818,2,17830.82,21777.61,0.326,0.0,0.1818,1,9892.35,11125.06,0.245,0.0,0.1364,1,10515.48,14659.47,0.175,0.0,0.1364,23.119037532445002,1.73
2026-05-29 08:46:56.141325,1.44,12,11.61,11.53,0,1,13949.86,15175.75,0.152,0.0,0.0909,1,21873.93,24093.87,0.117,0.0,0.0909,1,13551.06,18807.37,0.128,0.0,0.0909,1,11168.76,13036.4,0.128,0.0,0.0909,2,25623.24,29090.71,0.315,0.0,0.1818,3,16377.75,27221.08,0.35,0.0,0.1818,2,11900.41,17168.12,0.187,0.0,0.1364,2,10263.84,12641.74,0.198,0.0,0.1364,29.0907112597335,0.0
2026-05-29 08:46:57.212502,1.44,12,12.67,12.59,0,1,17641.06,18021.43,0.117,0.0,0.0909,1,20589.48,21268.76,0.14,0.0,0.0909,1,11304.02,14246.61,0.128,0.0,0.0909,1,10373.73,11802.72,0.14,0.0,0.0909,2,23606.37,28470.71,0.361,5.02,0.1818,2,20792.82,26682.73,0.292,2.78,0.1818,1,9232.42,11815.14,0.21,4.21,0.1364,2,13281.65,17809.32,0.187,4.84,0.1364,28.470713377920053,2.86
2026-05-29 08:46:58.282716,1.44,12,13.75,13.67,0,1,18775.02,22348.53,0.116,0.0,0.0909,1,20279.74,21473.33,0.151,0.0,0.0909,1,14864.21,19410.78,0.128,0.0,0.0909,1,10361.32,12005.22,0.14,0.0,0.0909,2,20790.01,29077.11,0.337,0.0,0.1818,1,16489.35,24947.62,0.349,0.0,0.1818,1,8453.73,10968.74,0.198,0.0,0.1364,2,12147.9,15185.5,0.209,0.0,0.1364,29.07711401337601,0.0
2026-05-29 08:46:59.336448,1.44,12,14.79,14.72,0,1,19096.31,25687.86,0.175,0.0,0.0909,1,9358.52,10350.1,0.093,0.0,0.0909,1,14833.96,18292.34,0.14,0.0,0.0909,1,11835.3,13537.36,0.117,0.0,0.0909,2,18566.8,22486.53,0.327,0.0,0.1818,2,21746.1,30529.69,0.315,0.0,0.1818,1,10654.72,13878.82,0.233,0.0,0.1364,2,9888.37,16720.95,0.152,0.0,0.1364,30.52968525305353,0.0
2026-05-29 08:47:00.385557,1.44,12,15.86,15.78,0,1,20958.09,23543.86,0.116,0.0,0.0909,1,14639.66,19482.23,0.139,0.0,0.0909,1,14093.39,16579.2,0.151,0.0,0.0909,1,14295.59,15791.11,0.105,0.0,0.0909,2,21549.64,25369.46,0.302,0.0,0.1818,2,25349.63,33443.31,0.337,0.0,0.1818,1,9240.92,12838.75,0.232,0.0,0.1364,1,9044.61,11106.98,0.151,6.11,0.1364,33.44330557591606,0.64
2026-05-29 08:47:01.452430,1.44,12,16.9,16.83,0,1,9963.13,11576.76,0.105,0.0,0.0909,1,21145.7,24658.57,0.175,0.0,0.0909,1,14529.22,15790.16,0.14,0.0,0.0909,1,13458.68,19692.13,0.14,0.0,0.0909,2,21081.59,24500.44,0.361,0.0,0.1818,2,24686.29,27129.09,0.337,0.0,0.1818,2,10864.97,12963.52,0.209,0.0,0.1364,1,12726.88,13515.7,0.209,0.0,0.1364,27.12909167277482,0.0
2026-05-29 08:47:02.531254,1.44,12,17.98,17.9,0,1,18317.54,19535.93,0.128,0.0,0.0909,1,13895.31,14975.77,0.128,0.0,0.0909,1,10623.76,11703.45,0.152,0.0,0.0909,1,16172.1,18055.44,0.105,0.0,0.0909,2,26794.58,28635.03,0.35,0.0,0.1818,2,19121.09,28993.13,0.292,2.78,0.1818,1,11581.79,14940.66,0.152,0.0,0.1364,1,13202.96,17881.11,0.233,0.0,0.1364,28.993127501832443,0.54
2026-05-29 08:47:03.591777,1.44,12,19.04,18.97,0,1,20417.86,22548.08,0.151,6.11,0.0909,1,21088.99,21423.63,0.116,0.0,0.0909,1,10137.43,10474.63,0.116,0.0,0.0909,1,9718.03,10311.73,0.163,0.0,0.0909,2,18186.27,23914.91,0.36,2.05,0.1818,1,16202.73,26870.64,0.326,0.0,0.1818,1,10773.44,13505.9,0.198,0.0,0.1364,1,13702.79,15313.43,0.221,0.0,0.1364,26.87063825054973,1.06
2026-05-29 08:47:04.647161,1.44,12,20.12,20.05,0,1,21199.86,23974.62,0.117,0.0,0.0909,1,19777.2,19891.59,0.152,0.0,0.0909,1,15268.13,15694.09,0.152,0.0,0.0909,1,5692.31,6126.62,0.105,0.0,0.0909,2,17791.28,20307.17,0.326,0.0,0.1818,2,19469.82,25683.69,0.326,0.0,0.1818,1,11711.83,12576.37,0.175,0.0,0.1364,2,12771.24,13852.23,0.21,0.0,0.1364,25.68369147516492,0.0
2026-05-29 08:47:05.716341,1.44,12,21.18,21.1,0,1,19151.76,21062.89,0.163,0.0,0.0909,1,17296.26,18588.48,0.093,0.0,0.0909,1,15037.04,15442.73,0.128,0.0,0.0909,1,14087.89,14313.39,0.128,0.0,0.0909,3,24281.48,25047.45,0.338,0.0,0.1818,2,17346.85,22409.31,0.326,0.0,0.1818,2,13417.85,15493.01,0.151,0.0,0.1364,2,9845.77,12082.47,0.245,3.49,0.1364,25.047451848434726,0.56
2026-05-29 08:47:06.772849,1.44,12,22.23,22.16,0,1,20551.23,21827.37,0.105,0.0,0.0909,1,21697.68,23189.94,0.163,5.63,0.0909,1,15634.81,15770.52,0.105,0.0,0.0909,1,15361.27,18518.72,0.175,0.0,0.0909,2,21096.15,22826.74,0.326,2.38,0.1818,1,23091.85,24625.29,0.338,0.0,0.1818,1,12377.05,14886.8,0.21,0.0,0.1364,2,13750.53,24920.14,0.198,0.0,0.1364,24.920140679855553,1.1
2026-05-29 08:47:07.831618,1.44,12,23.29,23.22,0,1,18411.87,19571.71,0.14,0.0,0.0909,1,17266.9,20520.18,0.128,0.0,0.0909,1,8321.34,9597.56,0.14,0.0,0.0909,1,11429.18,15648.21,0.117,0.0,0.0909,2,21543.34,23914.72,0.326,0.0,0.1818,2,21777.36,27721.19,0.326,0.0,0.1818,1,9381.02,13630.44,0.198,0.0,0.1364,1,9592.16,12957.74,0.187,0.0,0.1364,27.72118766982945,0.0
2026-05-29 08:47:08.895304,1.44,12,24.35,24.27,0,1,18789.26,19189.01,0.175,0.0,0.0909,1,15591.87,17792.15,0.105,0.0,0.0909,1,12294.3,15303.57,0.14,0.0,0.0909,1,12179.45,13458.46,0.14,0.0,0.0909,2,21244.2,23846.32,0.35,2.15,0.1818,2,19458.01,21745.16,0.326,2.38,0.1818,1,7271.9,12293.83,0.198,0.0,0.1364,1,11217.45,16852.72,0.222,0.0,0.1364,23.84631619990774,0.94
2026-05-29 08:47:09.955115,1.44,12,25.41,25.33,0,1,11929.78,12269.5,0.117,0.0,0.0909,1,20870.66,23480.95,0.14,0.0,0.0909,1,9300.19,10362.57,0.163,0.0,0.0909,1,12115.44,16139.14,0.093,0.0,0.0909,2,21340.66,22575.59,0.338,0.0,0.1818,2,16065.8,21864.75,0.326,0.0,0.1818,2,9990.07,14405.15,0.175,0.0,0.1364,1,11664.43,15781.92,0.21,0.0,0.1364,23.480946462142736,0.0
2026-05-29 08:47:10.994265,1.44,12,26.47,26.39,0,1,10014.73,12835.45,0.105,0.0,0.0909,1,22423.5,26047.18,0.152,0.0,0.0909,1,15157.66,18811.17,0.186,0.0,0.0909,1,6503.93,8274.54,0.07,0.0,0.0909,2,16709.7,21973.18,0.35,0.0,0.1818,2,15911.24,20394.92,0.291,0.0,0.1818,1,12111.72,15703.54,0.175,0.0,0.1364,1,12914.33,15476.08,0.21,0.0,0.1364,26.047183938642817,0.0
2026-05-29 08:47:12.033972,1.44,12,27.49,27.42,0,1,14774.22,19068.64,0.14,0.0,0.0909,1,9769.25,11458.36,0.117,0.0,0.0909,1,8756.4,9865.75,0.082,0.0,0.0909,1,13908.58,17197.06,0.175,0.0,0.0909,1,16058.91,18976.35,0.291,0.0,0.1818,2,24182.27,28259.48,0.35,0.0,0.1818,1,11074.52,14055.36,0.186,0.0,0.1364,1,11877.4,15578.22,0.198,0.0,0.1364,28.25947722012562,0.0
2026-05-29 08:47:13.077949,1.44,12,28.54,28.47,0,1,14656.47,18440.29,0.105,0.0,0.0909,1,18376.97,20031.71,0.152,0.0,0.0909,1,11432.92,12393.63,0.117,0.0,0.0909,1,15245.17,19000.22,0.14,6.67,0.0909,2,22291.07,23180.31,0.292,2.78,0.1818,2,22840.88,25704.14,0.362,2.05,0.1818,1,8989.55,11044.41,0.245,3.49,0.1364,1,10836.92,14399.27,0.152,6.11,0.1364,25.704143166037685,2.78
2026-05-29 08:47:14.154115,1.44,12,29.61,29.53,0,1,19968.44,25048.79,0.151,0.0,0.0909,1,21622.89,22131.91,0.128,0.0,0.0909,1,16673.88,19220.99,0.128,0.0,0.0909,1,9703.85,11415.57,0.151,0.0,0.0909,2,19808.82,24051.59,0.349,0.0,0.1818,2,17303.96,21262.54,0.338,0.0,0.1818,1,10542.47,14052.02,0.186,0.0,0.1364,1,10631.88,14984.28,0.221,0.0,0.1364,25.04878718146828,0.0
2026-05-29 08:47:15.248381,1.44,12,30.71,30.64,0,1,23077.53,26409.74,0.128,0.0,0.0909,1,23814.67,23980.67,0.14,0.0,0.0909,1,15765.36,17815.4,0.128,0.0,0.0909,1,14746.76,15318.37,0.152,0.0,0.0909,2,17796.45,21469.58,0.315,0.0,0.1818,2,22065.39,23943.86,0.385,0.0,0.1818,2,11570.44,14894.11,0.198,0.0,0.1364,2,10041.86,15520.98,0.222,0.0,0.1364,26.409736154440484,0.0
2026-05-29 08:47:16.602569,1.44,12,32.08,1.0,1,1,24209.76,25226.92,0.315,0.0,0.1818,1,24578.6,24644.5,0.28,0.0,0.1818,1,17014.61,23640.52,0.338,0.0,0.1364,2,25341.43,25536.01,0.373,0.0,0.1364,1,12959.83,15642.37,0.163,0.0,0.0682,2,17564.82,18141.66,0.14,0.0,0.0682,1,11169.73,12339.73,0.187,0.0,0.1136,1,11101.76,13318.8,0.175,0.0,0.1136,25.53601090656836,0.0
2026-05-29 08:47:17.660185,1.44,12,33.12,2.04,0,1,23592.53,26204.88,0.267,3.1,0.1818,1,23489.68,23523.45,0.255,0.0,0.1818,2,19079.18,22569.16,0.302,0.0,0.1364,2,27123.33,30233.7,0.348,0.0,0.1364,1,5112.25,5933.81,0.081,0.0,0.0682,1,6204.65,6984.6,0.058,0.0,0.0682,1,7934.52,9007.92,0.209,0.0,0.1136,1,9634.03,10703.74,0.07,0.0,0.1136,30.23370327197051,0.54
2026-05-29 08:47:18.721206,1.44,12,34.19,3.11,0,1,20423.26,24186.86,0.28,0.0,0.1818,2,21063.0,28120.74,0.268,0.0,0.1818,3,23519.15,35248.15,0.361,0.0,0.1364,2,26912.4,29127.21,0.315,0.0,0.1364,1,7849.78,8110.24,0.07,0.0,0.0682,1,11711.09,12414.08,0.058,0.0,0.0682,1,14033.96,14602.38,0.14,0.0,0.1136,1,10168.81,10962.22,0.117,0.0,0.1136,35.24814669969701,0.0
2026-05-29 08:47:19.808137,1.44,12,35.24,4.17,0,1,23316.88,25009.46,0.244,0.0,0.1818,1,22853.6,25538.62,0.268,0.0,0.1818,2,24830.15,30056.84,0.314,0.0,0.1364,2,30345.62,31279.56,0.349,0.0,0.1364,1,4250.53,4692.67,0.047,0.0,0.0682,1,5833.83,6064.32,0.093,0.0,0.0682,1,9769.59,9953.41,0.116,0.0,0.1136,1,7963.24,10094.77,0.14,6.67,0.1136,31.279563294477345,0.64
2026-05-29 08:47:20.884025,1.44,12,36.33,5.26,0,2,24047.76,24622.04,0.279,2.93,0.1818,1,22983.38,24451.09,0.268,0.0,0.1818,2,23157.04,25373.25,0.349,0.0,0.1364,1,21324.99,22172.17,0.338,0.0,0.1364,1,4232.66,4384.9,0.081,0.0,0.0682,1,2746.25,3313.8,0.047,0.0,0.0682,1,11188.08,11285.92,0.105,0.0,0.1136,1,9099.17,10543.63,0.175,0.0,0.1136,25.37325320297273,0.52
2026-05-29 08:47:21.954837,1.44,12,37.42,6.34,0,2,27880.43,43310.61,0.28,0.0,0.1818,2,23450.71,37835.73,0.233,0.0,0.1818,2,28641.51,32653.08,0.338,0.0,0.1364,2,27758.7,39537.65,0.326,0.0,0.1364,1,11449.9,13332.37,0.082,0.0,0.0682,1,13565.27,14315.14,0.058,0.0,0.0682,1,12056.02,12118.98,0.128,0.0,0.1136,1,16705.25,21533.19,0.152,12.37,0.1136,43.310611297656585,1.34
