src1_port2_qdepth_max,src1_port2_mbps_mean,src1_port2_mbps_std,src1_port3_qdepth_max,src1_port3_mbps_mean,src1_port3_mbps_std,src1_port4_qdepth_max,src1_port4_mbps_mean,src1_port4_mbps_std,src1_port5_qdepth_max,src1_port5_mbps_mean,src1_port5_mbps_std,src1_port2_mbps_cv,src1_port2_load_util,src1_port3_mbps_cv,src1_port3_load_util,src1_port4_mbps_cv,src1_port4_load_util,src1_port5_mbps_cv,src1_port5_load_util,qdepth_max_imbalance,mbps_imbalance,total_qdepth_max,Total_Load_Mbps,Weight_Port2,Capacity_Port2,Weight_Port3,Capacity_Port3,Weight_Port4,Capacity_Port4,Weight_Port5,Capacity_Port5,Label_Latency_ms,Label_Latency_p99_ms,Label_Jitter_ms,Label_Loss_Rate,qdepth_p99_port2,qdepth_slope_port2,qdepth_cv_port2,qdepth_max_diff_port2,qdepth_fft_max_port2,qdepth_fft_centroid_port2,mbps_slope_port2,qdepth_p99_port3,qdepth_slope_port3,qdepth_cv_port3,qdepth_max_diff_port3,qdepth_fft_max_port3,qdepth_fft_centroid_port3,mbps_slope_port3,qdepth_p99_port4,qdepth_slope_port4,qdepth_cv_port4,qdepth_max_diff_port4,qdepth_fft_max_port4,qdepth_fft_centroid_port4,mbps_slope_port4,qdepth_p99_port5,qdepth_slope_port5,qdepth_cv_port5,qdepth_max_diff_port5,qdepth_fft_max_port5,qdepth_fft_centroid_port5,mbps_slope_port5,max_qdepth_p99,total_qdepth_p99,qdepth_oscillation,qdepth_fft_max_all,src1_port2_mbps_drop,mbps_slope_neg_port2,src1_port3_mbps_drop,mbps_slope_neg_port3,src1_port4_mbps_drop,mbps_slope_neg_port4,src1_port5_mbps_drop,mbps_slope_neg_port5,src1_port2_qdepth_max_ecdf,qdepth_p99_port2_ecdf,qdepth_max_diff_port2_ecdf,qdepth_fft_max_port2_ecdf,src1_port2_mbps_drop_ecdf,src1_port2_mbps_std_ecdf,src1_port2_mbps_cv_ecdf,src1_port2_load_util_ecdf,qdepth_cv_port2_ecdf,qdepth_fft_centroid_port2_ecdf,qdepth_slope_port2_ecdf,mbps_slope_neg_port2_ecdf,src1_port3_qdepth_max_ecdf,qdepth_p99_port3_ecdf,qdepth_max_diff_port3_ecdf,qdepth_fft_max_port3_ecdf,src1_port3_mbps_drop_ecdf,src1_port3_mbps_std_ecdf,src1_port3_mbps_cv_ecdf,src1_port3_load_util_ecdf,qdepth_cv_port3_ecdf,qdepth_fft_centroid_port3_ecdf,qdepth_slope_port3_ecdf,mbps_slope_neg_port3_ecdf,src1_port4_qdepth_max_ecdf,qdepth_p99_port4_ecdf,qdepth_max_diff_port4_ecdf,qdepth_fft_max_port4_ecdf,src1_port4_mbps_drop_ecdf,src1_port4_mbps_std_ecdf,src1_port4_mbps_cv_ecdf,src1_port4_load_util_ecdf,qdepth_cv_port4_ecdf,qdepth_fft_centroid_port4_ecdf,qdepth_slope_port4_ecdf,mbps_slope_neg_port4_ecdf,src1_port5_qdepth_max_ecdf,qdepth_p99_port5_ecdf,qdepth_max_diff_port5_ecdf,qdepth_fft_max_port5_ecdf,src1_port5_mbps_drop_ecdf,src1_port5_mbps_std_ecdf,src1_port5_mbps_cv_ecdf,src1_port5_load_util_ecdf,qdepth_cv_port5_ecdf,qdepth_fft_centroid_port5_ecdf,qdepth_slope_port5_ecdf,mbps_slope_neg_port5_ecdf,qdepth_max_imbalance_ecdf,mbps_imbalance_ecdf,total_qdepth_max_ecdf,max_qdepth_p99_ecdf,total_qdepth_p99_ecdf,qdepth_oscillation_ecdf,qdepth_fft_max_all_ecdf,idx_congestion,idx_instability,idx_load_balance,Label_Class
64,0.7204,0.111,64,0.7156,0.1131,6,0.9109,0.143,6,0.8854,0.1484,0.1541,0.9005,0.158,0.8945,0.157,0.7591,0.1676,0.7378,58,0.0905,140,3.6,5,0.8,5,0.8,5,1.2,5,1.2,794.3477777777778,1174.8000000000002,16.684337321965387,6.063432835820896,64.0,0.6535913580615321,0.4100754178015814,4.0,1076.7986532466168,0.1204959081229355,0.0015921637671212,64.0,0.6512339231894007,0.4081688542717001,3.0,1072.0670875122798,0.1192096169197555,0.0015824654591029,5.079999999999998,0.0075497597803706,0.4444952908955613,2.0,19.59361964885548,0.1966115920122465,0.0018377547670914,5.079999999999998,0.0110113097191966,0.4701679989417454,3.0,19.175284539639463,0.1939243323390826,0.0019195189639223,64.0,138.15999999999997,0.433226890477647,1076.7986532466168,0.0796,0.0,0.0844,0.0,0.2890999999999999,0.0,0.3146,0.0,1.0,1.0,0.7853736089030207,0.927927927927928,0.2787493375728669,0.7424483306836248,0.4509803921568627,0.7223105458399576,0.7959724430312666,0.0911499735029146,0.9438261791202968,0.9697933227344993,1.0,1.0,0.6534181240063593,0.9242183359830418,0.3296237413884472,0.794912559618442,0.5521992580816111,0.6714361420243773,0.7901430842607313,0.0614732379438261,0.94223635400106,0.9666136724960256,0.7233704292527822,0.7196608373078961,0.6030736618971914,0.7180710121886592,0.2718600953895072,0.7265500794912559,0.4970853206147324,0.7286698463169051,0.7758346581875993,0.2919978802331743,0.7636459989401165,0.971383147853736,0.7228404875463699,0.7217806041335453,0.7366189719130896,0.7170111287758346,0.3163751987281399,0.7509273979862215,0.6067832538420773,0.6841547429782724,0.7954425013248543,0.2829888712241653,0.7774244833068362,0.9708532061473238,0.620561738208797,0.2363540010598834,0.8834128245892952,1.0,0.8855325914149443,0.7901430842607313,0.895601483836778,0.1590771163195366,0.7987213575409262,0.0084699410883566,1
64,0.72,0.1498,64,0.7209,0.1396,48,1.1123,0.2469,47,1.1105,0.2473,0.2081,0.9,0.1936,0.9011,0.222,0.9269,0.2227,0.9254,17,0.1955,223,4.8,8,0.8,8,0.8,5,1.2,5,1.2,1312.2685714285717,1702.66,12.298196155091755,17.202048417132215,64.0,0.6045728465083303,0.3903822884323431,7.0,979.1806692671366,0.120151773629232,0.0024658230969591,64.0,0.6027773068446278,0.3896735788954758,7.0,976.7232267626972,0.1179241049698527,0.0025586054898817,46.18000000000001,0.4103694342123514,0.5929676143943524,10.0,506.0822666979706,0.1385279012865242,0.0052486013285452,45.18000000000001,0.4117873711141593,0.5962006210814671,10.0,511.8443878675656,0.1377344685523621,0.0053535594839942,64.0,219.36,0.4923060257009096,979.1806692671366,0.08,0.0,0.0791,0.0,0.0876999999999998,0.0,0.0894999999999999,0.0,1.0,1.0,0.9554848966613672,0.8908320084790673,0.2866984631690514,0.9872813990461048,0.8585055643879174,0.7154213036565977,0.7477477477477478,0.0704822469528351,0.9003709591944886,0.9697933227344993,1.0,1.0,0.9576046634870164,0.8913619501854796,0.2782193958664546,0.9793322734499204,0.8235294117647058,0.7239003709591945,0.7435082140964494,0.0508744038155802,0.899311075781664,0.9666136724960256,0.8314785373608903,0.830948595654478,0.96767355590885,0.8320084790673026,0.1383147853736089,0.9941706412294647,0.8373078961314255,0.8622151563328034,0.8818229994700583,0.2299947005829359,0.8807631160572337,0.971383147853736,0.8304186539480657,0.830948595654478,0.9671436142024378,0.8335983041865395,0.1446740858505564,0.9952305246422892,0.825649178590355,0.8558558558558559,0.885002649708532,0.2225755166931637,0.8818229994700583,0.9708532061473238,0.5060943296237413,0.5649178590355061,0.9554848966613672,1.0,0.9544250132485428,0.8500264970853206,0.8479067302596714,0.1203431764599164,0.9111042347049816,0.1208958391830907,1
64,0.7235,0.1346,64,0.724,0.1297,5,0.6185,0.1586,6,0.6085,0.1718,0.186,0.9044,0.1791,0.905,0.2564,0.5154,0.2823,0.5071,59,0.0552,139,3.6,7,0.8,7,0.8,2,1.2,2,1.2,1207.61,1718.94,16.50727572796544,18.314676616915424,64.0,0.6139087504256047,0.3813113935295911,10.0,908.026993589738,0.1221136575144246,0.0026368743615934,64.0,0.6174497786857339,0.3835480347408393,10.0,912.378336839014,0.1217902173877844,0.0023532516172965,5.0,-0.002468505277494,0.6326663154196425,4.0,25.681025195574293,0.2146452789057085,0.0021784133469526,6.0,-0.0063500170241743,0.6749363814469164,5.0,24.862097570965407,0.2163274830858483,0.0025885257065032,64.0,139.0,0.5181155312842474,912.378336839014,0.0765,0.0,0.076,0.0,0.5814999999999999,0.0,0.5914999999999999,0.0,1.0,1.0,0.9687334393216748,0.8786433492315845,0.2469528351881293,0.9682034976152624,0.8049814520402756,0.7562268150503445,0.7291997880233174,0.1409644939056703,0.908320084790673,0.9697933227344993,1.0,1.0,0.969263381028087,0.881293057763646,0.241123476417594,0.9597244303126656,0.7742448330683624,0.7620561738208798,0.7307896131425543,0.1351351351351351,0.9157392686804452,0.9666136724960256,0.6915739268680445,0.7037625861155273,0.81293057763646,0.7413884472708002,0.4403815580286168,0.8108108108108109,0.8945416004239534,0.5601483836777954,0.899311075781664,0.320084790673026,0.0985691573926868,0.971383147853736,0.7228404875463699,0.7350291467938527,0.8691043985161632,0.7413884472708002,0.4525702172760996,0.8966613672496025,0.9236883942766296,0.548489666136725,0.9125596184419714,0.323794382617912,0.0312665606783253,0.9708532061473238,0.6338102808691044,0.1812400635930047,0.8770535241123476,1.0,0.8887122416534181,0.8659247482776895,0.8335983041865395,0.2998766714718085,0.9469650107960422,0.0026708927828495,1
6,0.3024,0.0667,6,0.322,0.0727,5,0.3055,0.0633,5,0.3115,0.0765,0.2206,0.378,0.2258,0.4025,0.2072,0.2546,0.2456,0.2596,1,0.0075,22,1.2,8,0.8,8,0.8,6,1.2,6,1.2,56.8535,279.910000000001,40.40857954045377,0.0,4.340000000000003,0.0054773716715601,0.528120786019496,3.0,17.13942152808973,0.2141474266997632,0.0010762377240052,4.340000000000003,0.004950896021059,0.5207081968233908,3.0,21.74732234709089,0.216378590243565,0.001773514224967,3.3400000000000034,0.0027437481016503,0.567548177182442,3.0,14.0,0.2289985273584566,0.0008383112281057,4.170000000000002,0.0036347068948061,0.5620350547220934,4.0,16.043052331181592,0.2295745595018512,0.0017708818467145,4.340000000000003,16.190000000000012,0.5446030536868556,21.74732234709089,0.4976,0.0,0.478,0.0,0.8945,0.0,0.8885,0.0,0.5458399576046635,0.5076841547429782,0.6507684154742979,0.5241123476417594,0.7959724430312666,0.3306836248012718,0.8775834658187599,0.2056173820879703,0.895601483836778,0.4965553789083201,0.5553789083200847,0.9697933227344993,0.548489666136725,0.5045045045045045,0.6534181240063593,0.5447800741918389,0.7519872813990461,0.3751987281399046,0.8908320084790673,0.2485426603073662,0.8834128245892952,0.5029146793852676,0.5506094329623742,0.9666136724960256,0.6915739268680445,0.5617382087970323,0.7323794382617912,0.604133545310016,0.7620561738208798,0.3184949655537891,0.7922628510863805,0.2390037095919449,0.8659247482776895,0.3916269210386857,0.6396396396396397,0.971383147853736,0.6958134605193429,0.6687864334923158,0.8155802861685215,0.6640169581346052,0.7403285638579756,0.4218335983041865,0.8770535241123476,0.2602013778484366,0.8675145733969264,0.40646528881823,0.6915739268680445,0.9708532061473238,0.1886592474827769,0.0625331213566507,0.4228934817170111,0.3158452570217276,0.4144144144144144,0.8797032326444091,0.4048754636989931,0.4491097230687377,0.5177960000281449,1.0244648666904716e-07,4
64,0.7034,0.1347,64,0.704,0.1324,17,0.6267,0.1391,17,0.6006,0.1492,0.1915,0.8792,0.1881,0.88,0.222,0.5223,0.2484,0.5005,47,0.046,162,3.6,4,0.8,4,0.8,2,1.2,2,1.2,1341.3204347826088,1962.4,14.80405990449194,22.512437810945272,64.0,0.4734763363976847,0.3290709057732322,17.0,691.1959984104044,0.1272695274792668,0.0025812053115423,64.0,0.4704119850187266,0.3268970917181901,17.0,689.5965632022849,0.1278433545041388,0.0023762342526387,9.960000000000036,-0.0051413006469186,1.2200259781159086,11.0,39.42828029038091,0.2167690631484438,0.0027131426625808,8.200000000000045,-0.0049540347293156,1.234393313272497,12.0,35.727558748586034,0.2048728995899443,0.0023391215526047,64.0,146.16000000000008,0.777596822219957,691.1959984104044,0.0966,0.0,0.096,0.0,0.5732999999999999,0.0,0.5993999999999999,0.0,1.0,1.0,0.9803921568627452,0.771595124536301,0.415474297827239,0.9687334393216748,0.8187599364069952,0.5850556438791733,0.575516693163752,0.2723900370959194,0.821939586645469,0.9697933227344993,1.0,1.0,0.9803921568627452,0.7694753577106518,0.4128245892951775,0.9666136724960256,0.8108108108108109,0.5877053524112348,0.5771065182829889,0.2946475887652358,0.8182299947005829,0.9666136724960256,0.7901430842607313,0.7731849496555379,0.971383147853736,0.7652358240593534,0.4350821409644939,0.7090620031796503,0.8373078961314255,0.5654478007419184,0.985691573926868,0.3275039745627981,0.045045045045045,0.971383147853736,0.7901430842607313,0.7657657657657657,0.975092739798622,0.7615262321144675,0.4811870694223635,0.7567567567567568,0.8823529411764706,0.5193428722840487,0.9841017488076312,0.2957074721780604,0.0445151033386327,0.9708532061473238,0.5760466348701643,0.1234764175940646,0.9236883942766296,1.0,0.9077901430842608,0.969263381028087,0.7027027027027027,0.3389991719204476,0.8468993086973564,0.0004031827301058,1
58,0.6994,0.1579,58,0.7007,0.1694,64,1.1118,0.2228,64,1.1205,0.2561,0.2258,0.8742,0.2418,0.8759,0.2004,0.9265,0.2286,0.9338,6,0.2081,244,4.8,3,0.8,3,0.8,8,1.2,8,1.2,1567.7834666666668,2611.0800000000004,35.61452817409651,17.50465549348231,50.43999999999997,0.4949384404924761,0.9791715318164412,43.0,698.5589286565294,0.1343127723776059,0.0043382841508696,53.79999999999998,0.5040453390658589,0.991544452049743,44.0,721.3419496359501,0.1594873393488972,0.0045342974399061,64.0,0.6693765878444401,0.4808581572589702,44.0,778.9465820307731,0.127835333806065,0.004578463943717,64.0,0.6725620480750439,0.4929694843673436,64.0,753.9154457913729,0.1631732744467487,0.0048678913425835,64.0,232.23999999999995,0.7361359063731245,778.9465820307731,0.1006,0.0,0.0993,0.0,0.0882,0.0,0.0794999999999999,0.0,0.6248012718600954,0.6232114467408585,0.9920508744038156,0.7790143084260731,0.424483306836248,0.9899311075781664,0.8860625331213566,0.5760466348701643,0.971383147853736,0.4186539480657127,0.8394276629570747,0.9697933227344993,0.6248012718600954,0.6237413884472708,0.992580816110228,0.7917329093799682,0.424483306836248,0.994700582935877,0.9120296767355592,0.5760466348701643,0.9756226815050344,0.4440911499735029,0.8537360890302067,0.9666136724960256,1.0,1.0,0.9968203497615262,0.9120296767355592,0.1393746687864334,0.9872813990461048,0.7705352411234764,0.8611552729199788,0.8060413354531002,0.1616322204557498,0.9623741388447272,0.971383147853736,1.0,1.0,1.0,0.9077901430842608,0.1144674085850556,0.9957604663487016,0.8463169051404346,0.8865924748277689,0.8203497615262321,0.2522522522522522,0.9629040805511394,0.9708532061473238,0.4711181770005299,0.6534181240063593,0.9634340222575516,1.0,0.9591944886062532,0.9629040805511394,0.7551669316375199,0.2638104364815578,1.1591842125082992,0.0710805520356012,1
64,0.6804,0.1757,64,0.6894,0.1745,64,1.0867,0.2683,64,1.0916,0.2745,0.2582,0.8505,0.2531,0.8618,0.2469,0.9056,0.2515,0.9097,0,0.2022,256,4.8,4,0.8,4,0.8,5,1.2,5,1.2,2508.2381690140846,3405.3,30.47687643423316,13.361266294227187,64.0,0.7980932924753152,0.5028825070141418,4.0,1104.9527345118715,0.1167558873392567,0.0043486550902281,64.0,0.7953013278855978,0.5004384495448989,5.0,1098.699829163392,0.1171314427963462,0.0039914879128362,64.0,0.8342696629213483,0.7205092537716989,8.0,1139.9959154490662,0.115468392627556,0.0063789581205311,64.0,0.8371807967313587,0.7239894456129335,8.0,1142.8101870046814,0.1146957396734091,0.0062320394960844,64.0,256.0,0.6119549139859184,1142.8101870046814,0.1196,0.0,0.1106,0.0,0.1132999999999999,0.0,0.1084,0.0,1.0,1.0,0.7853736089030207,0.9666136724960256,0.4419713831478537,0.9978802331743508,0.927927927927928,0.5585585585585585,0.8563857975622682,0.0434552199258081,0.994700582935877,0.9697933227344993,1.0,1.0,0.8929517753047165,0.956544780074192,0.4409114997350291,0.996290408055114,0.9215686274509804,0.5596184419713831,0.8579756226815051,0.0471648118706942,0.994700582935877,0.9666136724960256,1.0,1.0,0.9512453630100688,0.9708532061473238,0.1897191308956015,0.9984101748807632,0.8775834658187599,0.8108108108108109,0.9231584525702172,0.0673025967143614,0.9931107578166402,0.971383147853736,1.0,1.0,0.9507154213036566,0.971383147853736,0.1849496555378908,0.9973502914679384,0.8871224165341812,0.8155802861685215,0.9295177530471648,0.0609432962374138,0.9936406995230525,0.9708532061473238,0.0699523052464228,0.6110227874933757,1.0,1.0,1.0,0.9035506094329624,0.954954954954955,0.2859953958260141,1.193623190464124,0.0413747729911627,1
5,0.3046,0.0793,4,0.3052,0.0855,25,0.9085,0.237,24,0.9318,0.2332,0.2603,0.3808,0.2801,0.3815,0.2609,0.7571,0.2503,0.7765,21,0.3077,58,2.4,2,0.8,2,0.8,6,1.2,6,1.2,139.4029,496.1900000000001,17.035468444378818,0.4189944134078212,4.1200000000000045,-0.0007660878447395,0.661410985332528,4.0,17.393390396610084,0.2216226962418981,0.0012637044603336,4.0,-0.0011065713312904,0.6072102967530205,4.0,12.942038638582412,0.2615310375005577,0.0009633980251957,18.840000000000032,-0.0507320394960844,0.8334034905388205,15.0,191.42427853419125,0.1679663226382847,0.0036018045624787,19.600000000000023,-0.0550221314266258,0.8020259336338574,15.0,201.11754077310812,0.1545127375743486,0.0036430030643513,19.600000000000023,46.56000000000006,0.7260126765645566,201.11754077310812,0.4954,0.0,0.4948,0.0,0.2915,0.0,0.2682,0.0,0.5299417064122947,0.505564387917329,0.7853736089030207,0.5257021727609963,0.7874933757286698,0.4223635400105988,0.9289878113407524,0.2135665076841547,0.9348171701112876,0.5188129305776364,0.1711711711711711,0.9697933227344993,0.4795972443031266,0.4833068362480127,0.7795442501324854,0.4387917329093799,0.785903550609433,0.4631690514043455,0.9454160042395336,0.2156862745098039,0.9268680445151032,0.9417064122946476,0.1526232114467408,0.9666136724960256,0.8018018018018018,0.7975622681505035,0.9803921568627452,0.8012718600953895,0.2745098039215686,0.9915209326974032,0.8998410174880763,0.7265500794912559,0.9443561208267092,0.2586115527291998,0.0042395336512983,0.971383147853736,0.8012718600953895,0.7991520932697403,0.9803921568627452,0.8012718600953895,0.2580816110227875,0.9920508744038156,0.885002649708532,0.7424483306836248,0.9427662957074722,0.2437731849496555,0.003709591944886,0.9708532061473238,0.5124536301006889,0.8701642819289878,0.4578696343402226,0.4573396926338103,0.4562798092209857,0.9591944886062532,0.4594594594594595,0.5837119908665724,0.838305125903202,0.0012125628165383,2
2,0.1585,0.0373,2,0.1421,0.038,4,0.449,0.0683,5,0.4677,0.0749,0.2353,0.1981,0.2674,0.1776,0.1521,0.3742,0.1601,0.3898,3,0.1543,13,1.2,2,0.8,2,0.8,5,1.2,5,1.2,52.7508,243.1600000000006,16.01786897400123,0.0,1.1400000000000006,0.0009841802143325,0.2947084383803554,1.0,4.754547328576458,0.224529327930918,0.0004570970328789,2.0,3.645111904936182e-05,0.4111721050849631,2.0,6.987674857661418,0.2688350904159815,0.0003650579572792,4.0,0.0015673981191222,0.3579000529710308,3.0,15.355676575755474,0.2471625112450325,0.000927680979806,5.0,-0.0053947656193045,0.3848140035457555,4.0,15.016157491902671,0.2346434840196269,0.0008578770868265,5.0,12.14,0.3621486499955262,15.355676575755474,0.6415000000000001,0.0,0.6579,0.0,0.7509999999999999,0.0,0.7323,0.0,0.2485426603073662,0.1176470588235294,0.2676205617382088,0.0948595654478007,0.9146793852676206,0.1081081081081081,0.9024907260201378,0.086380498145204,0.4557498675145734,0.5288818229994701,0.3916269210386857,0.9697933227344993,0.2559618441971383,0.2575516693163752,0.5135135135135135,0.1664016958134605,0.9417064122946476,0.1160572337042925,0.9342872284048754,0.0588235294117647,0.7954425013248543,0.9846316905140434,0.3084260731319554,0.9666136724960256,0.6279809220985691,0.640169581346052,0.7323794382617912,0.6481187069422364,0.611552729199788,0.3593004769475357,0.4228934817170111,0.3889772125066242,0.6189719130895601,0.6338102808691044,0.5532591414944356,0.971383147853736,0.6958134605193429,0.7090620031796503,0.8155802861685215,0.6396396396396397,0.5781664016958135,0.4122946475887652,0.5400105988341283,0.4223635400105988,0.6979332273449921,0.4589295177530472,0.0386857445680975,0.9708532061473238,0.3619501854795972,0.4854266030736619,0.347111817700053,0.3736089030206677,0.3593004769475357,0.629570747217806,0.2771595124536301,0.6286189194328211,0.3891324411547134,4.259206791271388e-07,4
64,0.7571,0.1007,64,0.7567,0.1038,3,0.623,0.0907,3,0.5823,0.089,0.133,0.9464,0.1372,0.9459,0.1456,0.5192,0.1528,0.4853,61,0.0785,134,3.6,3,0.8,3,0.8,6,1.2,6,1.2,87.68069999999997,386.46000000000026,17.644009135243223,17.319651741293534,64.0,0.4356181552326105,0.2984129329208315,4.0,704.2545506135567,0.1278657851084897,0.0014131180806302,64.0,0.4357524394974786,0.2984466550170183,4.0,706.1881037916568,0.1284709711226732,0.0013986452209722,2.0799999999999983,0.003640595625317,0.3703974927113115,2.0,10.287966550709466,0.2375989223512024,0.000849422577661,3.0,0.0040434484199218,0.4063765390597301,2.0,10.913647065531103,0.2421294812994066,0.0010165318850526,64.0,133.07999999999998,0.3434084049272229,706.1881037916568,0.0429,0.0,0.0433,0.0,0.577,0.0,0.6176999999999999,0.0,1.0,1.0,0.7853736089030207,0.7843137254901961,0.0233174350821409,0.5675675675675675,0.0752517223105458,0.978272390037096,0.4711181770005299,0.2888182299947006,0.7912029676735559,0.9697933227344993,1.0,1.0,0.7795442501324854,0.7848436671966084,0.0243773184949655,0.5983041865394807,0.1171171171171171,0.9761526232114468,0.4742978272390037,0.3137254901960784,0.7901430842607313,0.9666136724960256,0.5050344462109168,0.3645998940116587,0.6030736618971914,0.3953365129835718,0.437201907790143,0.5029146793852676,0.3153153153153153,0.5633280339162692,0.6555378908320085,0.4923158452570217,0.6883942766295708,0.971383147853736,0.5039745627980922,0.5119236883942766,0.6083730789613142,0.4361420243773184,0.5029146793852676,0.4949655537890832,0.4345521992580816,0.4981452040275569,0.7424483306836248,0.5564387917329093,0.7011128775834659,0.9708532061473238,0.721250662427133,0.223105458399576,0.8171701112877583,1.0,0.8007419183889772,0.5569687334393216,0.7180710121886592,0.3703048201385712,0.497129491249864,0.0092712207733956,2
