src1_port2_qdepth_max,src1_port2_mbps_mean,src1_port2_mbps_std,src1_port3_qdepth_max,src1_port3_mbps_mean,src1_port3_mbps_std,src1_port4_qdepth_max,src1_port4_mbps_mean,src1_port4_mbps_std,src1_port5_qdepth_max,src1_port5_mbps_mean,src1_port5_mbps_std,Total_Load_Mbps,Weight_Port2,Capacity_Port2,Weight_Port3,Capacity_Port3,Weight_Port4,Capacity_Port4,Weight_Port5,Capacity_Port5,Label_Latency_ms,Label_Jitter_ms,Label_Loss_Rate,src1_port2_mbps_cv,src1_port3_mbps_cv,src1_port4_mbps_cv,src1_port5_mbps_cv,src1_port2_load_util,src1_port3_load_util,src1_port4_load_util,src1_port5_load_util,qdepth_max_imbalance,mbps_imbalance,total_qdepth_max,Label_Class
5,0.492,0.0747,5,0.5096,0.0815,1,0.1071,0.0291,1,0.0942,0.0294,1.2,4,0.8,4,0.8,1,1.2,1,1.2,52.371,22.166046048118265,0.0,0.1518,0.1599,0.2717,0.3121,0.615,0.637,0.0893,0.0785,4,0.2002,12,0
2,0.3013,0.049,2,0.3013,0.0511,2,0.3069,0.0596,2,0.2967,0.05,1.2,3,0.8,3,0.8,4,1.2,4,1.2,51.407,15.204637304721514,0.0,0.1626,0.1696,0.1942,0.1685,0.3766,0.3766,0.2558,0.2473,0,0.0036,8,0
64,0.7504,0.1215,64,0.7538,0.1173,1,0.1898,0.0543,1,0.2092,0.0587,2.4,10,0.8,10,0.8,1,1.2,1,1.2,802.855,16.396241961255928,14.338919925512103,0.1619,0.1556,0.2861,0.2806,0.938,0.9422,0.1582,0.1743,63,0.2764,130,1
3,0.4966,0.0806,3,0.5043,0.0813,4,0.7052,0.108,3,0.6983,0.1069,2.4,6,0.8,6,0.8,8,1.2,8,1.2,57.284,15.934621190645691,0.0,0.1623,0.1612,0.1531,0.1531,0.6207,0.6304,0.5877,0.5819,1,0.1007,13,0
4,0.2488,0.0457,3,0.2547,0.0461,5,0.3531,0.0631,5,0.3538,0.0587,1.2,3,0.8,3,0.8,4,1.2,4,1.2,43.149,15.100744477525742,0.0,0.1837,0.181,0.1787,0.1659,0.311,0.3184,0.2942,0.2948,2,0.0509,17,0
39,0.7536,0.1114,40,0.7554,0.1097,2,0.4111,0.0742,2,0.3941,0.0663,2.4,7,0.8,7,0.8,4,1.2,4,1.2,337.698,16.826454403663448,0.0,0.1478,0.1452,0.1805,0.1682,0.942,0.9442,0.3426,0.3284,38,0.1761,83,2
8,0.5761,0.1234,7,0.5945,0.1138,55,1.1087,0.2072,54,1.1076,0.2072,4.8,1,0.8,1,0.8,1,1.2,1,1.2,2837.039,40.1497017331758,10.777467411545624,0.2142,0.1914,0.1869,0.1871,0.7201,0.7431,0.9239,0.923,48,0.2615,124,2
2,0.2848,0.0712,2,0.3085,0.0652,64,1.1451,0.1904,64,1.1482,0.1824,4.8,3,0.8,3,0.8,5,1.2,5,1.2,2764.236,44.9723346670096,26.303538175046555,0.25,0.2113,0.1663,0.1589,0.356,0.3856,0.9542,0.9568,62,0.4251,132,1
0,0.0,0.0,0,0.0,0.0,5,0.5929,0.0815,6,0.6146,0.0892,1.2,1,0.8,1,0.8,6,1.2,6,1.2,49.165,20.808856154148263,0.0,0.0,0.0,0.1375,0.1451,0.0,0.0,0.4941,0.5122,6,0.302,11,0
3,0.2999,0.054,3,0.3025,0.0511,3,0.2872,0.0527,3,0.3163,0.0558,1.2,5,0.8,5,0.8,4,1.2,4,1.2,40.288,17.114254718033656,0.0,0.1801,0.1689,0.1835,0.1764,0.3749,0.3781,0.2393,0.2636,0,0.0103,12,0
