timestamp,port2_qdepth,port3_qdepth,port4_qdepth,port5_qdepth,port2_mbps,port3_mbps,port4_mbps,port5_mbps,jitter_ms,loss_pct
1.0,1,4,2,5,0.153,0.117,0.244,0.017,-1.0,-1.0
2.1,0,0,1,0,0.004,0.003,0.161,0.0,0.0,0.0
3.1,0,0,1,0,0.0,0.0,771.646,0.0,2.28,0.0
4.1,0,0,1,0,0.0,0.0,986.403,0.0,2.28,0.0
5.1,0,0,1,0,0.0,0.0,27.882,0.0,2.2,0.0
6.2,0,0,1,0,0.0,0.0,772.483,0.0,2.14,0.0
7.2,0,0,1,0,0.0,0.0,21.967,0.0,2.14,0.0
8.2,1,0,1,0,0.222,0.0,1.065,0.0,2.05,0.0
9.3,1,1,1,0,964.558,964.552,964.582,0.0,4.04,0.0
10.3,0,0,1,0,27.246,27.246,27.297,0.0,4.04,0.0
11.3,0,0,1,0,0.77,0.77,1.03,0.0,5.92,0.0
12.3,0,0,1,0,0.022,0.022,0.106,0.0,5.55,0.0
13.4,0,0,1,0,0.001,0.001,0.186,0.0,5.55,0.0
14.4,0,0,1,0,0.0,0.0,0.161,0.0,5.22,0.0
15.4,0,0,1,0,0.0,0.0,1286.074,0.0,4.9,0.0
16.4,1,1,1,0,0.052,0.037,36.418,0.0,4.9,0.0
17.5,0,0,1,0,0.001,0.001,1.238,0.0,6.83,0.0
18.5,0,0,1,0,0.0,0.0,0.144,0.0,8.64,0.0
19.5,0,0,1,0,0.0,0.0,0.022,0.0,8.64,0.0
20.5,0,0,1,0,0.0,0.0,551.282,0.0,7.62,0.0
21.6,0,0,1,0,0.0,0.0,15.591,0.0,7.62,0.0
22.6,0,0,1,0,0.0,0.0,0.496,0.0,7.15,0.0
23.6,1,1,1,0,0.219,0.109,0.309,0.0,8.82,0.0
24.6,0,0,1,0,0.006,0.003,0.231,0.0,8.82,0.0
25.7,0,0,1,0,0.0,0.0,0.019,0.0,10.39,0.0
26.7,0,0,1,0,0.0,0.0,0.089,0.0,9.75,0.0
27.7,0,0,1,0,0.0,0.0,0.029,0.0,9.75,0.0
28.8,0,0,1,0,0.0,0.0,0.09,0.0,9.17,0.0
29.8,0,0,1,0,0.0,0.0,0.212,0.0,8.69,0.0
30.8,0,0,0,0,0.0,0.0,0.006,0.0,8.69,0.0
31.8,1,1,1,0,964.565,0.013,1929.117,0.0,10.23,0.0
