Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1778274019.1216812,1,0.01,1,0.03,1,0.01,1,0.0
1778274019.2312727,2,0.11,2,0.09,1,0.07,1,0.04
1778274019.3377273,6,0.3,5,0.29,1,0.18,1,0.19
1778274019.441062,8,0.45,8,0.44,1,0.23,1,0.23
1778274019.5561707,12,0.56,11,0.52,1,0.22,1,0.32
1778274019.685027,14,0.5,13,0.47,1,0.18,1,0.3
1778274019.7906525,16,0.61,17,0.69,1,0.26,1,0.31
1778274019.8923228,19,0.67,20,0.72,1,0.32,1,0.36
1778274019.9939516,22,0.71,22,0.75,1,0.43,1,0.36
1778274020.0959675,19,0.73,20,0.76,1,0.41,1,0.39
1778274020.1989343,22,0.75,22,0.77,1,0.49,1,0.41
1778274020.307416,26,0.75,27,0.76,1,0.57,1,0.35
1778274020.4114099,29,0.76,30,0.8,1,0.5,1,0.42
1778274020.5194416,33,0.76,34,0.79,1,0.51,1,0.33
1778274020.6241403,37,0.8,37,0.78,1,0.49,1,0.4
1778274020.7308342,40,0.75,41,0.78,1,0.47,1,0.35
1778274020.839487,44,0.82,45,0.77,1,0.49,1,0.37
1778274020.9448192,48,0.8,48,0.77,1,0.48,1,0.36
1778274021.0507023,52,0.79,54,0.8,1,0.43,1,0.42
1778274021.1622343,57,0.77,56,0.78,1,0.4,1,0.42
1778274021.2634985,59,0.78,59,0.79,1,0.45,1,0.4
1778274021.3665855,62,0.78,63,0.79,1,0.39,1,0.41
1778274021.469576,64,0.78,64,0.79,1,0.34,1,0.49
1778274021.5736043,64,0.78,64,0.79,1,0.31,1,0.51
1778274021.6816046,64,0.81,64,0.81,1,0.34,1,0.46
1778274021.7831845,64,0.8,64,0.8,1,0.38,1,0.46
1778274021.8872983,64,0.8,64,0.76,1,0.37,1,0.42
1778274021.9926586,64,0.79,64,0.8,1,0.46,1,0.36
1778274022.0964859,64,0.79,64,0.79,1,0.45,1,0.36
1778274022.210919,64,0.76,64,0.8,1,0.38,1,0.34
1778274022.3176677,64,0.8,64,0.79,1,0.43,2,0.31
1778274022.419999,64,0.79,64,0.79,1,0.41,1,0.35
1778274022.5233715,64,0.79,64,0.79,1,0.42,1,0.35
1778274022.6284466,64,0.79,64,0.78,2,0.43,1,0.34
1778274022.7377324,64,0.81,64,0.8,1,0.43,1,0.43
1778274022.8476663,64,0.79,64,0.78,1,0.37,1,0.46
1778274022.950356,64,0.79,64,0.79,1,0.43,1,0.49
1778274023.0517905,64,0.79,64,0.79,1,0.4,1,0.45
1778274023.159956,64,0.78,64,0.78,1,0.47,1,0.41
1778274023.2656307,64,0.78,64,0.78,1,0.4,1,0.42
1778274023.3720255,64,0.8,64,0.8,1,0.38,1,0.46
1778274023.4771838,64,0.79,64,0.79,1,0.4,1,0.39
1778274023.582437,64,0.79,64,0.79,1,0.38,2,0.44
1778274023.6898546,64,0.78,64,0.78,1,0.4,1,0.44
1778274023.7923665,64,0.78,64,0.78,1,0.35,1,0.47
1778274023.8947601,64,0.79,64,0.79,0,0.28,1,0.43
1778274024.0103788,64,0.79,64,0.79,1,0.41,1,0.39
1778274024.1131282,64,0.79,64,0.79,1,0.39,1,0.45
1778274024.2168624,64,0.79,64,0.79,2,0.41,1,0.45
1778274024.326325,64,0.81,64,0.77,1,0.42,1,0.44
1778274024.4281135,64,0.77,64,0.78,1,0.36,1,0.45
1778274024.5302215,64,0.78,64,0.79,1,0.36,1,0.52
1778274024.6334088,64,0.78,64,0.79,1,0.38,1,0.43
1778274024.7389472,64,0.78,64,0.78,1,0.37,1,0.43
1778274024.8444827,64,0.81,64,0.81,1,0.39,1,0.44
1778274024.9460573,64,0.81,64,0.81,1,0.45,1,0.38
1778274025.0503879,64,0.76,64,0.77,1,0.42,1,0.33
1778274025.1542375,64,0.8,64,0.8,2,0.46,1,0.36
1778274025.2660766,64,0.78,64,0.78,1,0.42,1,0.41
1778274025.368594,64,0.82,64,0.82,1,0.49,1,0.33
1778274025.4737477,64,0.8,64,0.77,1,0.45,1,0.33
1778274025.5775924,64,0.8,64,0.81,1,0.45,1,0.4
1778274025.6813946,64,0.76,64,0.8,1,0.35,1,0.45
1778274025.7906826,64,0.75,64,0.75,1,0.38,1,0.41
1778274025.8926606,64,0.8,64,0.8,1,0.44,1,0.39
1778274026.0026822,64,0.81,64,0.78,1,0.37,2,0.4
1778274026.105611,64,0.81,64,0.78,1,0.36,1,0.48
1778274026.2111435,64,0.8,64,0.81,2,0.39,1,0.47
1778274026.3176944,64,0.79,64,0.8,1,0.4,1,0.43
1778274026.420656,64,0.79,64,0.79,1,0.35,1,0.44
1778274026.5270345,64,0.78,64,0.79,1,0.35,1,0.5
1778274026.6372306,64,0.77,64,0.77,1,0.34,1,0.45
1778274026.7394862,64,0.81,64,0.81,1,0.34,1,0.49
1778274026.849395,64,0.79,64,0.79,1,0.3,1,0.5
1778274026.9521768,64,0.79,64,0.79,1,0.38,1,0.45
1778274027.0567324,64,0.78,64,0.79,1,0.37,1,0.49
1778274027.161155,64,0.78,64,0.78,1,0.36,1,0.44
1778274027.2666674,64,0.81,64,0.78,1,0.45,1,0.38
1778274027.3734696,64,0.8,64,0.77,1,0.45,1,0.36
1778274027.4755595,64,0.8,64,0.81,1,0.45,1,0.39
1778274027.5840979,64,0.78,64,0.79,1,0.38,2,0.44
1778274027.6882463,64,0.78,64,0.79,1,0.4,1,0.44
1778274027.7946947,64,0.78,64,0.78,1,0.41,1,0.41
1778274027.8997936,64,0.77,64,0.78,2,0.39,1,0.42
1778274028.0014644,64,0.78,64,0.78,2,0.44,1,0.4
1778274028.1053336,64,0.78,64,0.78,1,0.35,1,0.45
1778274028.2241094,64,0.78,64,0.81,1,0.33,1,0.46
1778274028.335216,64,0.8,64,0.79,0,0.23,0,0.32
1778274028.4380078,64,0.8,64,0.79,1,0.23,1,0.43
1778274028.542884,64,0.79,64,0.78,1,0.26,1,0.44
1778274028.6482098,64,0.78,64,0.78,2,0.38,1,0.4
1778274028.7530103,64,0.78,64,0.81,1,0.47,1,0.49
1778274028.8583698,64,0.81,64,0.8,1,0.43,1,0.54
1778274028.9720232,64,0.81,64,0.77,1,0.39,1,0.47
1778274029.0791926,64,0.8,64,0.8,1,0.31,1,0.4
