Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1777546942.8301506,2,0.03,1,0.02,1,0.01,0,0.0
1777546942.9517796,4,0.17,4,0.22,1,0.09,1,0.09
1777546943.055969,6,0.35,5,0.35,1,0.13,1,0.19
1777546943.1581843,7,0.45,7,0.52,1,0.19,1,0.24
1777546943.2594333,9,0.53,9,0.6,1,0.2,1,0.3
1777546943.3611643,11,0.58,11,0.63,1,0.21,1,0.35
1777546943.4627883,12,0.61,12,0.65,1,0.25,1,0.28
1777546943.564476,13,0.67,14,0.69,1,0.24,1,0.3
1777546943.6712701,15,0.7,15,0.75,1,0.3,1,0.27
1777546943.7771509,16,0.72,17,0.72,1,0.31,1,0.29
1777546943.8784292,17,0.71,17,0.75,1,0.29,1,0.34
1777546943.9810905,19,0.74,19,0.73,1,0.34,1,0.31
1777546944.084292,21,0.75,20,0.75,1,0.3,1,0.35
1777546944.189541,22,0.73,22,0.72,1,0.28,1,0.34
1777546944.2933447,23,0.74,23,0.74,1,0.26,1,0.31
1777546944.3950455,25,0.76,25,0.73,1,0.29,1,0.32
1777546944.4980829,26,0.74,26,0.74,1,0.3,1,0.32
1777546944.599676,27,0.76,28,0.76,1,0.31,1,0.33
1777546944.702108,29,0.74,29,0.77,1,0.32,1,0.33
1777546944.8078458,30,0.71,30,0.77,1,0.29,1,0.33
1777546944.90917,32,0.71,32,0.78,1,0.24,1,0.34
1777546945.0137033,33,0.73,33,0.75,1,0.3,1,0.3
1777546945.1153488,35,0.72,35,0.76,1,0.31,1,0.31
1777546945.2167144,36,0.74,36,0.77,1,0.32,1,0.32
1777546945.3194509,38,0.73,38,0.78,1,0.29,1,0.36
1777546945.420691,38,0.72,39,0.79,1,0.31,1,0.32
1777546945.5233097,40,0.71,41,0.79,1,0.32,1,0.26
1777546945.6268227,41,0.73,42,0.79,1,0.29,1,0.32
1777546945.7303696,42,0.75,43,0.75,1,0.34,1,0.29
1777546945.8324437,45,0.73,44,0.77,1,0.34,1,0.3
1777546945.9373372,46,0.74,46,0.74,1,0.34,1,0.31
1777546946.0387182,48,0.76,47,0.73,1,0.3,1,0.32
1777546946.141129,49,0.77,49,0.75,1,0.31,1,0.26
1777546946.2462852,51,0.77,50,0.72,1,0.29,1,0.31
1777546946.347949,51,0.75,52,0.75,1,0.34,1,0.29
1777546946.4555452,53,0.72,53,0.75,1,0.37,1,0.27
